dataset,comparison,metric,u_stat,p_value,p_bonferroni,effect_size_r,z_score,median1,median2,n1,n2
CNN/DM,Single-shot_vs_MAS,rouge1,5218,1.5702099993009971e-19,8.479133996225384e-18,0.7382451758471001,9.041619929483177,0.3431952662721893,0.2028985507246377,75,75
CNN/DM,Single-shot_vs_MAS,rouge2,4664,3.4647507087297125e-12,1.8709653827140448e-10,0.568223214749909,6.959284680705926,0.1194029850746268,0.0569395017793594,75,75
CNN/DM,Single-shot_vs_MAS,rougeL,5385,4.065315879851552e-22,2.195270575119838e-20,0.7896507326770272,9.671206850367998,0.2038216560509554,0.1070234113712374,75,75
CNN/DM,Single-shot_vs_MAS,bertscore_f1,5612,6.93715745025683e-26,3.746065023138688e-24,0.8591633214649582,10.522558716519708,0.8674378395080566,0.814158022403717,75,75
CNN/DM,Single-shot_vs_MAS,latency_sec,0,4.1250061987099507e-26,2.2275033473033734e-24,0.863153006472654,-10.57142217903614,3.888061285018921,17.95149803161621,75,75
CNN/DM,Single-shot_vs_MAS,token_usage,16,7.815580428143883e-26,4.220413431197697e-24,0.8582426249247207,-10.511282532862069,769.0,3002.0,75,75
CNN/DM,Single-shot_vs_Adaptive,rouge1,4183,2.612031223434516e-07,1.4104968606546387e-05,0.4206048694651635,5.151336567597878,0.3431952662721893,0.2724014336917562,75,75
CNN/DM,Single-shot_vs_Adaptive,rouge2,3509,0.008894287910915816,0.48029154718945405,0.21375504675847237,2.6179539725150835,0.1194029850746268,0.0934579439252336,75,75
CNN/DM,Single-shot_vs_Adaptive,rougeL,4012,6.524876429647004e-06,0.00035234332720093824,0.36827861609499907,4.51047346305542,0.2038216560509554,0.1651376146788991,75,75
CNN/DM,Single-shot_vs_Adaptive,bertscore_f1,5198,3.115051338737608e-19,1.6821277229183083e-17,0.7321071989121836,8.966445371765587,0.8674378395080566,0.8393429517745972,75,75
CNN/DM,Single-shot_vs_Adaptive,latency_sec,446,5.940044862781434e-19,3.2076242259019745e-17,0.7262761208240127,-8.895029541933877,3.888061285018921,5.717419624328613,75,75
CNN/DM,Single-shot_vs_Adaptive,token_usage,1443,2.664817728349742e-07,1.4390015733088609e-05,0.4202979706184177,-5.147577839711999,769.0,1131.0,75,75
CNN/DM,MAS_vs_Adaptive,rouge1,1234,3.005570427458708e-09,1.6230080308277023e-07,0.48443982958829673,-5.933151967860818,0.2028985507246377,0.2724014336917562,75,75
CNN/DM,MAS_vs_Adaptive,rouge2,1383,7.819237041682619e-08,4.222388002508614e-06,0.4387119014231676,-5.3731015128647694,0.0569395017793594,0.0934579439252336,75,75
CNN/DM,MAS_vs_Adaptive,rougeL,814,5.911301148710156e-14,3.192102620303484e-12,0.6133373452215464,-7.511817679930215,0.1070234113712374,0.1651376146788991,75,75
CNN/DM,MAS_vs_Adaptive,bertscore_f1,319,7.218383425371177e-21,3.897927049700436e-19,0.7652522743607335,-9.372387983440575,0.814158022403717,0.8393429517745972,75,75
CNN/DM,MAS_vs_Adaptive,latency_sec,5625,4.1250061987099507e-26,2.2275033473033734e-24,0.863153006472654,10.57142217903614,17.95149803161621,5.717419624328613,75,75
CNN/DM,MAS_vs_Adaptive,token_usage,5517,2.880987918721008e-24,1.5557334761093443e-22,0.8300079310241041,10.165479567361153,3002.0,1131.0,75,75
GovReport,Single-shot_vs_MAS,rouge1,2872,0.8244968696014484,1.0,0.018260481381377036,0.22364430920983125,0.3055555555555556,0.3063829787234042,75,75
GovReport,Single-shot_vs_MAS,rouge2,4603,1.7185865396628026e-11,9.280367314179135e-10,0.5495023850984132,6.730002279667275,0.0915208613728129,0.0650095602294455,75,75
GovReport,Single-shot_vs_MAS,rougeL,4360,6.004348796212292e-09,3.2423483499546377e-07,0.47507941476254884,5.818510767341492,0.1514285714285714,0.132804757185332,75,75
GovReport,Single-shot_vs_MAS,bertscore_f1,5544,1.0123088723727149e-24,5.46646791081266e-23,0.8382941998862417,10.2669652202799,0.8389332294464111,0.8136881589889526,75,75
GovReport,Single-shot_vs_MAS,latency_sec,625,2.0293062729290645e-16,1.0958253873816948e-14,0.6713412272565088,-8.222217250361444,8.125566005706787,23.98777151107788,75,75
GovReport,Single-shot_vs_MAS,token_usage,1053,3.8018211685553136e-11,2.0529834310198693e-09,0.5399885208492924,-6.61348171520501,9422.0,20436.0,75,75
GovReport,Single-shot_vs_Adaptive,rouge1,3997,8.573375772244176e-06,0.00046296229170118554,0.36352168397043866,4.4522131808242875,0.3055555555555556,0.2586206896551724,75,75
GovReport,Single-shot_vs_Adaptive,rouge2,4310,1.8355076770839742e-08,9.91174145625346e-07,0.45958102300188425,5.628695009104576,0.0915208613728129,0.0636285468615649,75,75
GovReport,Single-shot_vs_Adaptive,rougeL,4068,2.3688588963143346e-06,0.00012791838040097407,0.3854649515127657,4.720962224664674,0.1514285714285714,0.1274834437086092,75,75
GovReport,Single-shot_vs_Adaptive,bertscore_f1,4799,8.340495798777983e-14,4.5038677313401106e-12,0.6096545590605964,7.46671294529966,0.8389332294464111,0.8259594440460205,75,75
GovReport,Single-shot_vs_Adaptive,latency_sec,727,4.616304220997571e-15,2.4928042793386884e-13,0.6400375448884338,-7.838827006001733,8.125566005706787,19.440292596817017,75,75
GovReport,Single-shot_vs_Adaptive,token_usage,1593,4.607938330386348e-06,0.0002488286698408628,0.37426314360654284,-4.583768656830071,9422.0,20302.0,75,75
GovReport,MAS_vs_Adaptive,rouge1,3938,2.3322221151237525e-05,0.0012593999421668263,0.34556810143580746,4.232327599500336,0.3063829787234042,0.2586206896551724,75,75
GovReport,MAS_vs_Adaptive,rouge2,2650,0.543826906957734,1.0,0.04971761317282487,-0.6089139175124817,0.0650095602294455,0.0636285468615649,75,75
GovReport,MAS_vs_Adaptive,rougeL,2705,0.6889309290009071,1.0,0.03283817660180408,-0.4021838837891083,0.132804757185332,0.1274834437086092,75,75
GovReport,MAS_vs_Adaptive,bertscore_f1,985,6.634116678321535e-12,3.582423006293629e-10,0.560704193004636,-6.867195847501877,0.8136881589889526,0.8259594440460205,75,75
GovReport,MAS_vs_Adaptive,latency_sec,3990,9.68798244034859e-06,0.0005231510517788239,0.3613733920432179,4.4259020856231315,23.98777151107788,19.440292596817017,75,75
GovReport,MAS_vs_Adaptive,token_usage,3100,0.27985940582224467,1.0,0.08838686786279977,1.0825136311333008,20436.0,20302.0,75,75
XSum,Single-shot_vs_MAS,rouge1,5241,6.966817844609914e-20,3.762081636089354e-18,0.7454572987456273,9.129950034801347,0.183206106870229,0.0932203389830508,75,75
XSum,Single-shot_vs_MAS,rouge2,4140,5.693532479853351e-07,3.07450753912081e-05,0.40756166847846564,4.991590632447998,0.0425531914893616,0.0186915887850467,75,75
XSum,Single-shot_vs_MAS,rougeL,5048,4.3614911712084074e-17,2.35520523245254e-15,0.6862258213236817,8.4045155528266,0.1228070175438596,0.0647773279352226,75,75
XSum,Single-shot_vs_MAS,bertscore_f1,5499,5.757495379777806e-24,3.109047505080015e-22,0.8244837517826793,10.097822465415323,0.8629910349845886,0.812466561794281,75,75
XSum,Single-shot_vs_MAS,latency_sec,0,4.1250061987099507e-26,2.2275033473033734e-24,0.863153006472654,-10.57142217903614,3.36359977722168,15.254345417022703,75,75
XSum,Single-shot_vs_MAS,token_usage,33,1.5357570982141266e-25,8.293088330356284e-24,0.8530253445300416,-10.447384158802118,378.0,2085.0,75,75
XSum,Single-shot_vs_Adaptive,rouge1,1648,1.212876111528775e-05,0.0006549531002255385,0.357383707035522,-4.377038623106698,0.183206106870229,0.2298850574712643,75,75
XSum,Single-shot_vs_Adaptive,rouge2,2344,0.07846579183047825,1.0,0.14362866027704965,-1.759084650591614,0.0425531914893616,0.0571428571428571,75,75
XSum,Single-shot_vs_Adaptive,rougeL,1618,7.187309552171067e-06,0.00038811471581723763,0.366590672437897,-4.489800459683083,0.1228070175438596,0.175438596491228,75,75
XSum,Single-shot_vs_Adaptive,bertscore_f1,1696,2.7318437688919306e-05,0.0014751956352016425,0.34265256239172204,-4.196619684584481,0.8629910349845886,0.8791141510009766,75,75
XSum,Single-shot_vs_Adaptive,latency_sec,4207,1.6086689781105073e-07,8.686812481796739e-06,0.4279704417870635,5.241546036858987,3.36359977722168,2.2162327766418457,75,75
XSum,Single-shot_vs_Adaptive,token_usage,1656,1.3919933326991681e-05,0.0007516763996575508,0.35492851626155536,-4.346968800019662,378.0,605.0,75,75
XSum,MAS_vs_Adaptive,rouge1,339,1.491050499683228e-20,8.051672698289431e-19,0.7589608480024439,-9.295334061780045,0.0932203389830508,0.2298850574712643,75,75
XSum,MAS_vs_Adaptive,rouge2,1134,2.643622627938937e-10,1.427556219087026e-08,0.5149762648395071,-6.30714539250583,0.0186915887850467,0.0571428571428571,75,75
XSum,MAS_vs_Adaptive,rougeL,343,1.6878107611059393e-20,9.114178109972072e-19,0.7578867020388335,-9.282178514179467,0.0647773279352226,0.175438596491228,75,75
XSum,MAS_vs_Adaptive,bertscore_f1,113,3.494700723535417e-24,1.8871383907091253e-22,0.828473436790375,-10.146685927931756,0.812466561794281,0.8791141510009766,75,75
XSum,MAS_vs_Adaptive,latency_sec,5565,4.454543061166164e-25,2.4054532530297285e-23,0.8447390756679042,10.34589850588337,15.254345417022703,2.2162327766418457,75,75
XSum,MAS_vs_Adaptive,token_usage,5544,1.0119261234394958e-24,5.464401066573278e-23,0.8382941998862417,10.2669652202799,2085.0,605.0,75,75
